date,diff
2020-01-12,-84.21577136400447
2020-01-19,15281.092649278711
2020-01-26,-7363.619305514207
2020-02-02,-6570.936092647404
2020-02-09,9211.21408672689
2020-02-16,-6807.845050944088
2020-02-23,3707.5436977594945
2020-03-01,6794.365479996515
2020-03-08,-6967.897969428319
2020-03-15,5523.815455883901
2020-03-22,-1716.747723468783
2020-03-29,2718.250459002098
2020-04-05,-8520.756913455916
2020-04-12,3755.5993850691157
2020-04-19,3694.559964881977
2020-04-26,5427.0754814085085
2020-05-03,7673.023613866419
2020-05-10,-12049.126530718524
2020-05-17,1551.9922876511991
2020-05-24,-6497.707768074091
2020-05-31,2915.4744314829004
2020-06-07,-5091.331796595696
2020-06-14,-4609.564420940704
2020-06-21,3219.6258802249067
2020-06-28,1865.0553063472908
2020-07-05,-2361.0387734779943
2020-07-12,-2764.2483427347033
2020-07-19,6903.270671244696
2020-07-26,-8387.153940755787
2020-08-02,598.8794549517916
2020-08-09,3128.072313921599
2020-08-16,-1518.3987181815028
2020-08-23,-12117.011183337294
2020-08-30,8891.925028079495
2020-09-06,-9563.024487396993
2020-09-13,2423.9778941925906
2020-09-20,3370.1012360841996
2020-09-27,-681.3691032688948
2020-10-04,15185.532649148896
2020-10-11,-12527.709998517297
2020-10-18,-895.1040152967034
2020-10-25,-5638.200952455387
2020-11-01,6500.173362894697
2020-11-08,-474.71468983859813
2020-11-15,-4354.514054457104
2020-11-22,11153.567391685501
2020-11-29,11560.920151270795
2020-12-06,-12845.718698234996
2020-12-13,947.0070496344997
2020-12-20,-1378.623181412404
2020-12-27,6944.343294661812
2021-01-03,3019.523134704592
2021-01-10,-2470.258888811106
2021-01-17,9028.711647453601
2021-01-24,-5908.316222944006
2021-01-31,-1668.596017169184
2021-02-07,24890.289933854103
2021-02-14,-15354.687008567009
2021-02-21,2521.7692039867106
2021-02-28,-1102.8379451836227
2021-03-07,-1482.2084659595857
2021-03-14,11027.873999799107
2021-03-21,-5995.218363619206
2021-03-28,8821.151272332296
2021-04-04,-2608.1178979807883
2021-04-11,-3766.3287835076044
2021-04-18,-2755.2404702425993
2021-04-25,12968.428099583078
2021-05-02,-14153.346990524296
2021-05-09,10881.915591268713
2021-05-16,-7576.178948322311
2021-05-23,2439.6240144245094
2021-05-30,2382.950027176703
2021-06-06,-8210.498224915296
2021-06-13,2107.3898274922976
2021-06-20,-6754.122523649916
2021-06-27,3270.0237827782985
2021-07-04,-8942.668231805786
2021-07-11,-2513.942647704389
2021-07-18,4588.638058225188
2021-07-25,-4114.087734331813
2021-08-01,2192.8049287071044
2021-08-08,1550.3474771865003
2021-08-15,8259.935582094098
2021-08-22,-6409.4135573885
2021-08-29,-10027.081176020889
2021-09-05,-461.1237399284
2021-09-12,35.79275983819389
2021-09-19,-7413.951534845997
2021-09-26,7952.192646877607
2021-10-03,-6949.543961230898
2021-10-10,4501.692669421987
2021-10-17,6443.698137396699
2021-10-24,-6114.148878583495
2021-10-31,5341.304335589506
2021-11-07,14997.567892024992
2021-11-14,-13181.626656402688
2021-11-21,7777.178977557691
2021-11-28,-6669.204875483905
2021-12-05,9841.99705267002
2021-12-12,-12023.55532356142
2021-12-19,8122.017733554501
2021-12-26,1084.8278290769958
2022-01-02,4433.314495148516
2022-01-09,4274.459363415401
2022-01-16,17063.6187586757
2022-01-23,-16576.623148514307
2022-01-30,5711.052572239714
2022-02-06,726.2897426902782
2022-02-13,1607.2639784381026
2022-02-20,9917.142316330894
2022-02-27,-12129.5243442645
2022-03-06,12847.826913206925
2022-03-13,-9783.705812971224
2022-03-20,4582.587139808602
2022-03-27,2134.195980767603
2022-04-03,-1151.544749650493
2022-04-10,-2892.580422443192
2022-04-17,8186.002641639003
2022-04-24,-1273.4790528926242
2022-05-01,-7028.163062548789
2022-05-08,-2309.82165244731
2022-05-15,14490.93576493481
2022-05-22,-9030.758160547004
2022-05-29,-4426.466239675181
2022-06-05,11503.389696755185
2022-06-12,-16071.704899898003
2022-06-19,880.1604901181126
2022-06-26,2297.542956675403
2022-07-03,-7782.526248828013
2022-07-10,-197.36213461009902
2022-07-17,-1124.6338860671094
2022-07-24,-1354.3869937794807
2022-07-31,-7316.153816196107
2022-08-07,-2907.282579349907
2022-08-14,1844.649144957919
2022-08-21,3146.0397034478956
2022-08-28,503.87205153738614
2022-09-04,-4462.669666342001
2022-09-11,6204.6291640305135
2022-09-18,-5590.130451016506
2022-09-25,515.986324153113
2022-10-02,-589.0761590145121
2022-10-09,1527.6044803471887
2022-10-16,2593.341604889516
2022-10-23,673.2816649203887
2022-10-30,-4460.593799073395
2022-11-06,9684.656176471995
2022-11-13,-7778.048782560509
2022-11-20,5660.978769536305
2022-11-27,458.45638626941945
2022-12-04,-890.6889727054222
2022-12-11,5330.593357995123
2022-12-18,-330.3175370200188
2022-12-25,4899.97858874331
2023-01-01,3233.945986901701
2023-01-08,5819.272401238792
2023-01-15,-2023.952995456697
2023-01-22,-1215.5248446679034
2023-01-29,2690.6638988371124
2023-02-05,3680.986599500582
2023-02-12,1533.3284746314166
2023-02-19,6332.541154906794
2023-02-26,1162.5398514585104
2023-03-05,-4932.658329333703
2023-03-12,349.70181894960115
2023-03-19,-6220.289774206001
2023-03-26,7625.245787959982
2023-04-02,-1122.3433658676804
2023-04-09,2342.219749704178
2023-04-16,2556.194871747517
2023-04-23,-1018.9850468682125
2023-04-30,-1198.1941620756988
2023-05-07,136.61328735321877
2023-05-14,-1986.7760906864132
2023-05-21,120.4273915264057
2023-05-28,-13153.857193994103
2023-06-04,9086.311963549408
2023-06-11,-826.9543143061164
2023-06-18,-2265.506554091902
2023-06-25,-1079.8104008504888
2023-07-02,1686.617396124202
2023-07-09,-6092.734005575912
2023-07-16,8284.411516739521
2023-07-23,-6752.48616253701
